"velocity:0","velocity:1","velocity:2"
-0.084257,0.45721,0.000351
-0.087853,0.47628,4.0732e-05
-0.087853,0.47628,-4.0732e-05
-0.084257,0.45721,-0.000351
-0.077212,0.41953,-0.0013376
-0.067006,0.36454,-0.0035892
-0.054056,0.29441,-0.0083376
-0.038892,0.21201,-0.019067
-0.022135,0.12075,-0.057558
-0.0044726,0.02441,-0.51501
0.013372,-0.072967,-0.49258
0.030671,-0.16726,-0.030493
0.046713,-0.25454,-0.012523
0.060843,-0.3312,-0.0055237
0.072481,-0.39408,-0.0022523
0.081151,-0.44063,-0.00073024
0.086499,-0.46912,-0.00013928
0.088306,-0.47867,-1.0373e-05
0.076637,-0.64168,7.3651e-06
0.075068,-0.62878,0.00010464
0.070427,-0.59049,0.00058617
0.062902,-0.52812,0.0019133
0.052801,-0.44397,0.0048437
0.040539,-0.34134,0.011038
0.026616,-0.22438,0.026524
0.011604,-0.097919,0.42885
-0.0038813,0.032762,0.44784
-0.019209,0.16202,0.049512
-0.033751,0.28437,0.016724
-0.046911,0.39473,0.0073513
-0.05815,0.48858,0.0031089
-0.067008,0.56219,0.0011071
-0.073123,0.61275,0.00027263
-0.076244,0.63845,2.9621e-05
-0.076244,0.63845,-2.9621e-05
-0.073123,0.61275,-0.00027263
-0.067008,0.56219,-0.0011071
-0.05815,0.48858,-0.0031089
-0.046911,0.39473,-0.0073513
-0.033751,0.28437,-0.016724
-0.019209,0.16202,-0.049512
-0.0038813,0.032762,-0.44784
0.011604,-0.097919,-0.42885
0.026616,-0.22438,-0.026524
0.040539,-0.34134,-0.011038
0.052801,-0.44397,-0.0048437
0.062902,-0.52812,-0.0019133
0.070427,-0.59049,-0.00058617
0.075068,-0.62878,-0.00010464
0.076637,-0.64168,-7.3651e-06
0.061829,-0.77799,6.4626e-06
0.060563,-0.76232,9.1981e-05
0.056818,-0.71588,0.00051481
0.050747,-0.64031,0.0016688
0.042597,-0.53839,0.0041612
0.032704,-0.41406,0.0092666
0.021472,-0.27227,0.021638
0.0093616,-0.11885,0.34726
-0.0031312,0.039771,0.36216
-0.015496,0.19663,0.039733
-0.027228,0.345,0.013849
-0.037845,0.47874,0.0062486
-0.046913,0.59242,0.0026941
-0.05406,0.68159,0.00096994
-0.058993,0.74287,0.00023967
-0.061512,0.77406,2.6015e-05
-0.061512,0.77406,-2.6015e-05
-0.058993,0.74287,-0.00023967
-0.05406,0.68159,-0.00096994
-0.046913,0.59242,-0.0026941
-0.037845,0.47874,-0.0062486
-0.027228,0.345,-0.013849
-0.015496,0.19663,-0.039733
-0.0031312,0.039771,-0.36216
0.0093616,-0.11885,-0.34726
